avg_temp,year
24.49,1796
25.18,1797
24.65,1798
24.81,1799
24.85,1800
24.49,1801
25.44,1802
25.22,1803
25.67,1804
25.01,1805
24.87,1806
24.25,1807
,1808
,1809
,1810
,1811
,1812
24.23,1813
23.91,1814
23.79,1815
23.30,1816
23.60,1817
23.94,1818
23.86,1819
23.91,1820
24.40,1821
24.33,1822
24.62,1823
25.10,1824
24.69,1825
24.88,1826
24.67,1827
24.61,1828
24.46,1829
24.39,1830
24.43,1831
24.66,1832
24.46,1833
24.59,1834
23.89,1835
24.12,1836
24.13,1837
24.29,1838
24.24,1839
24.24,1840
24.05,1841
24.22,1842
23.99,1843
24.23,1844
24.46,1845
24.90,1846
24.35,1847
24.35,1848
24.32,1849
24.38,1850
24.45,1851
24.43,1852
24.67,1853
24.73,1854
24.75,1855
24.21,1856
23.87,1857
24.59,1858
24.55,1859
24.41,1860
24.21,1861
23.59,1862
,1863
,1864
25.06,1865
25.00,1866
24.96,1867
25.07,1868
24.92,1869
24.42,1870
24.47,1871
24.48,1872
24.51,1873
24.56,1874
24.64,1875
24.84,1876
25.23,1877
25.15,1878
24.39,1879
24.58,1880
24.76,1881
24.33,1882
24.25,1883
24.35,1884
24.62,1885
24.53,1886
24.31,1887
24.63,1888
24.73,1889
24.46,1890
24.95,1891
24.59,1892
24.38,1893
24.75,1894
24.78,1895
25.12,1896
25.30,1897
24.87,1898
24.74,1899
25.44,1900
25.09,1901
25.06,1902
24.82,1903
24.53,1904
24.92,1905
25.09,1906
24.74,1907
24.66,1908
24.61,1909
24.42,1910
24.76,1911
25.00,1912
25.00,1913
25.02,1914
25.22,1915
24.75,1916
24.46,1917
24.74,1918
25.06,1919
24.99,1920
24.88,1921
24.74,1922
24.84,1923
24.89,1924
24.69,1925
25.14,1926
25.06,1927
25.06,1928
24.87,1929
24.86,1930
25.24,1931
24.68,1932
24.61,1933
24.81,1934
24.93,1935
24.99,1936
24.96,1937
24.91,1938
24.84,1939
24.92,1940
25.55,1941
25.23,1942
24.69,1943
24.92,1944
25.05,1945
24.97,1946
25.02,1947
25.21,1948
24.92,1949
24.85,1950
25.03,1951
25.12,1952
25.18,1953
24.92,1954
24.78,1955
24.73,1956
25.11,1957
25.29,1958
25.24,1959
25.07,1960
24.97,1961
24.90,1962
25.04,1963
25.09,1964
25.04,1965
25.32,1966
24.87,1967
25.00,1968
25.36,1969
24.95,1970
24.74,1971
25.22,1972
25.40,1973
24.94,1974
24.86,1975
25.13,1976
25.20,1977
25.07,1978
25.44,1979
25.45,1980
25.17,1981
25.42,1982
25.59,1983
25.08,1984
25.31,1985
25.51,1986
25.81,1987
25.50,1988
25.20,1989
25.25,1990
25.49,1991
25.16,1992
25.22,1993
25.22,1994
25.44,1995
25.41,1996
25.68,1997
26.01,1998
25.29,1999
25.34,2000
25.53,2001
25.76,2002
25.92,2003
25.25,2004
25.48,2005
25.42,2006
25.46,2007
25.35,2008
25.73,2009
25.71,2010
25.36,2011
26.04,2012
26.61,2013
